Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,348.000000,349.000000,338.399994,343.600006,341.697113,2013739
2022-08-10,344.899994,345.350006,333.750000,336.000000,334.139191,1922983
2022-08-11,340.000000,352.950012,340.000000,343.100006,341.199890,3460158
2022-08-12,343.000000,344.299988,339.000000,340.549988,338.663971,1304455
2022-08-16,341.200012,344.149994,334.100006,335.899994,334.039734,1857000
2022-08-17,337.299988,342.700012,334.200012,339.000000,337.122589,3008023
2022-08-18,338.850006,338.850006,332.600006,334.500000,332.647491,2001328
2022-08-19,335.200012,342.350006,327.600006,331.500000,329.664124,2710173
2022-08-22,328.649994,329.450012,320.450012,323.000000,321.211182,2323609
2022-08-23,316.250000,322.350006,314.200012,321.299988,319.520599,3145777
2022-08-24,321.299988,326.250000,319.000000,320.299988,318.526123,1536007
2022-08-25,322.600006,327.399994,322.450012,323.899994,322.106201,1193710
2022-08-26,326.600006,328.600006,320.000000,321.649994,319.868652,1027518
2022-08-29,311.200012,314.000000,306.149994,312.149994,310.421265,2119808
2022-08-30,315.500000,323.200012,313.049988,321.350006,319.570343,1700071
2022-09-01,317.000000,323.850006,316.100006,321.899994,320.117279,1335617
2022-09-02,323.399994,325.600006,319.899994,320.950012,319.172546,1437386
2022-09-05,317.000000,325.299988,317.000000,322.500000,320.713959,2290268
2022-09-06,322.500000,324.850006,318.200012,323.200012,321.410095,1156589
2022-09-07,320.000000,322.799988,317.100006,317.950012,316.189178,3796332
2022-09-08,323.399994,327.000000,317.350006,318.299988,316.537201,3028681
2022-09-09,321.399994,331.350006,318.200012,328.750000,326.929352,4075468
2022-09-12,332.000000,341.200012,329.500000,338.049988,336.177826,5357436
2022-09-13,341.399994,342.000000,334.000000,334.950012,333.095032,1766155
2022-09-14,324.500000,329.700012,323.000000,324.500000,322.702881,2710077
2022-09-15,326.700012,328.000000,318.250000,319.200012,317.432251,1805972
2022-09-16,319.200012,319.600006,306.000000,308.100006,306.393707,2542624
2022-09-19,311.200012,311.399994,297.250000,300.149994,298.487732,3489957
2022-09-20,303.500000,310.149994,303.000000,304.799988,303.111969,1821692
2022-09-21,305.000000,306.700012,299.250000,302.500000,300.824738,1921494
